,target
3534,1
5060,0
2178,1
7533,0
4362,0
8060,1
5198,0
6871,1
705,1
1872,0
3720,1
4060,1
4709,1
5072,1
8432,0
7991,0
4302,0
6531,1
4660,1
6811,0
565,1
5771,0
7821,0
8451,0
2987,1
640,0
4791,0
7364,1
2778,1
507,0
6055,1
1964,1
6492,1
1534,1
325,0
6315,1
2338,1
3410,1
4076,0
3649,0
2237,0
6485,1
4601,1
7338,1
8698,0
7187,1
3574,0
864,0
4722,0
8233,0
3095,1
4756,0
2815,0
6202,1
5282,1
371,1
4472,1
4609,0
5821,1
2542,0
8587,0
4747,0
6932,1
6797,1
8803,1
2364,0
5554,0
1360,0
911,1
8068,0
7618,0
5255,0
7841,0
3733,1
7913,1
964,1
3933,1
1423,0
122,1
479,1
662,1
7375,1
3704,0
3248,0
6383,0
2988,0
5155,0
2776,0
439,1
1379,1
8222,1
3382,0
6851,0
4693,0
1443,0
5359,0
6706,0
1477,1
2039,0
1173,1
5537,0
8238,1
8348,1
4896,0
5120,0
7148,1
2893,0
2669,1
4231,1
279,0
7067,0
5422,0
4920,1
2571,0
8309,0
1101,0
568,0
1694,1
3182,0
3771,0
3593,0
8357,0
3296,1
577,1
59,0
8149,0
787,1
3723,0
4284,0
3206,0
6255,0
5267,0
5945,1
7224,1
3469,0
3322,0
7188,1
4698,1
335,1
7162,1
4626,1
3524,0
4937,1
467,1
184,0
3656,0
4372,0
420,1
2350,1
553,1
1397,0
1384,1
3573,0
4057,1
1760,0
3509,0
297,1
443,0
777,0
1119,1
5227,1
7739,1
6088,1
1921,1
655,1
8228,0
2229,1
7488,1
2842,1
2537,1
6118,1
6771,0
2540,0
3909,0
5187,1
2457,1
2578,1
7580,0
3455,1
7837,1
2758,0
6577,0
5929,0
558,1
320,0
3039,0
1371,1
8655,0
907,1
5331,0
1433,0
7793,1
5396,1
8414,0
7297,0
6850,0
3159,1
6940,1
926,0
4951,1
2470,1
15,1
143,0
7814,1
2363,1
5262,1
7784,1
1161,1
4721,1
3349,1
4411,0
5386,1
1204,0
6827,0
1362,1
4280,1
1212,0
1876,0
7927,1
7220,1
7384,0
7607,0
7965,0
7399,1
1170,1
579,1
2182,0
4022,0
3624,1
3885,1
1833,1
6720,0
1825,1
6462,0
1859,0
3742,1
3615,1
2685,0
5125,0
3749,0
4528,0
3121,0
387,1
7139,1
1032,1
6314,1
2488,0
2286,1
3187,0
2629,0
3813,1
6211,1
3058,0
4879,1
931,1
6586,1
691,1
7762,0
1891,0
2268,0
5366,1
829,0
5180,1
7882,1
3685,0
8492,1
44,0
3101,1
4230,0
3012,0
3454,0
3355,1
223,0
2965,0
1187,0
7122,1
837,0
3396,1
1683,1
7523,1
3059,0
7766,1
6936,1
63,0
3092,0
617,0
5015,0
6361,1
227,0
5040,1
6915,0
8055,0
3195,0
7594,1
5339,1
4513,0
969,0
1805,0
2447,0
925,0
6788,0
5814,0
5193,0
8833,1
4532,1
2851,1
7293,0
4169,0
1860,0
5935,1
4808,1
6279,0
7538,0
6674,1
252,1
8103,0
6352,0
1789,1
6740,0
2059,1
7154,0
3047,0
3543,0
5841,0
1902,1
2750,1
2119,0
7226,0
8005,1
3979,0
2689,1
5848,0
4275,1
1923,0
5577,1
75,1
2345,1
2351,1
6742,0
430,0
6670,1
8822,1
5532,1
5428,0
8456,0
4024,0
7370,1
6547,0
6664,0
3412,1
6146,0
240,0
783,1
1354,0
3066,1
6380,1
977,0
809,0
2168,0
4812,1
4704,1
1599,0
2941,0
3964,0
3668,1
7678,0
684,0
6502,1
6128,0
1620,1
7157,0
1482,1
2146,0
1801,0
2095,0
4891,0
1357,1
6478,1
4128,0
6240,0
8466,1
4438,1
4561,1
3869,1
4386,0
1609,0
4898,1
494,1
3721,1
3319,1
3662,1
2017,0
4845,0
2328,1
29,0
7567,0
4343,1
8819,0
3118,1
1092,1
3246,1
124,1
8644,0
8458,0
4271,0
5991,1
8849,1
2298,1
8509,1
1553,0
8230,0
3341,0
598,0
2123,0
7424,0
1416,0
4739,1
6345,0
5715,0
8267,0
5680,0
7895,0
8752,1
2197,1
4877,0
3362,0
5518,0
725,1
6447,0
4028,1
808,1
3903,0
7954,1
958,1
6658,1
8996,1
8835,1
810,0
8046,0
834,0
4054,0
2423,1
6114,0
3817,1
1235,1
1225,0
6451,1
6708,0
8363,0
4700,0
4100,0
3217,0
6180,1
287,1
3989,0
2966,1
3164,0
4832,1
8875,0
7160,1
1657,1
1975,0
2397,0
452,0
6452,0
5717,1
7545,1
5173,0
2619,1
422,0
7638,1
1220,0
2929,1
657,0
3301,0
5325,0
2845,0
3023,1
6223,1
8671,1
1001,1
102,0
2418,0
7565,0
6120,0
6785,0
1580,0
4055,0
2206,1
170,0
8313,0
135,1
757,0
5520,0
1310,1
1217,0
2284,0
8088,1
2905,1
5515,0
3555,1
5603,1
1935,0
6346,0
4056,1
4039,0
807,0
2045,1
5612,1
462,0
2927,0
1956,0
2445,1
5516,1
4717,1
4947,0
3235,0
799,0
2402,0
4618,0
1073,0
4434,0
6548,1
144,0
6601,0
1340,0
4098,1
7588,1
2091,1
6861,1
5674,0
5794,0
5471,1
5825,0
5960,0
3540,1
4738,0
5507,0
1003,0
4368,0
5842,0
5107,1
3470,1
4270,0
555,0
3891,1
4823,1
8214,0
1485,1
7000,1
1272,0
7345,0
1411,1
8418,0
753,1
1471,0
4326,0
7650,1
8945,0
6947,1
3076,1
5653,1
6449,1
3288,0
4753,0
7433,0
981,1
8241,0
4119,0
2722,0
8419,0
1268,0
2462,1
4405,1
268,0
654,1
5523,0
5070,0
8213,0
2413,0
6004,0
2821,1
428,1
589,0
495,1
4032,0
4228,1
5369,1
5403,1
6157,0
6410,1
528,0
1808,0
7749,1
2055,0
1231,0
2028,1
5493,1
677,1
7095,0
6593,0
6416,0
8406,1
7440,1
2741,1
4091,1
4011,0
8805,0
2432,0
5092,0
5388,0
551,0
5022,0
4042,0
3783,0
1611,0
4421,0
5211,0
8245,0
3794,1
673,0
7178,0
4881,1
7020,1
5071,1
8514,0
4588,0
605,1
5729,1
7051,1
5778,0
1468,0
7883,0
1982,0
4785,0
890,1
6832,0
8015,1
843,0
2155,0
4773,0
8794,1
2077,1
5584,1
5006,0
5474,0
3520,1
4694,1
2799,0
5832,0
584,0
3268,1
8388,0
4002,1
5436,0
4125,0
5824,1
8182,0
6261,1
4162,0
4535,1
6005,1
4586,1
4210,0
8824,1
2550,0
6907,0
6312,0
344,0
2185,1
5165,1
7012,1
6425,0
3838,0
8703,1
871,0
4463,1
8476,0
5889,0
8692,0
90,1
8398,1
5171,0
6076,0
6143,1
7884,1
8165,1
6355,1
2117,0
2937,1
8310,0
7436,1
2836,1
3096,1
5605,1
5647,1
947,0
2925,0
4338,0
3214,1
7865,0
6144,1
883,1
7627,1
5670,1
7256,0
5677,1
627,1
1456,1
8600,0
7231,1
6555,0
7774,0
5838,0
6537,1
8631,1
7017,0
6874,0
2415,0
5927,0
7423,1
4466,1
5489,1
6590,0
8317,1
2899,0
433,1
2398,1
2209,1
1710,1
3353,1
8470,0
104,1
5756,1
1186,0
7839,0
3184,0
8811,1
6397,0
7046,1
8416,0
8897,1
151,1
3282,0
6169,0
5013,1
915,1
1305,0
4397,0
3049,1
8449,1
8106,0
8566,1
7031,0
5763,0
5153,0
3921,0
6473,0
2796,0
2701,1
1398,1
2519,0
3358,1
8273,0
183,1
4043,0
366,0
8928,0
6086,0
8652,1
6113,0
2417,1
471,0
967,1
6545,0
6460,1
2656,0
6778,1
209,1
1961,1
896,0
8613,0
3819,0
8568,1
1773,1
5146,0
2299,0
1209,1
6798,0
5579,0
8974,1
1270,0
1251,1
3176,0
7620,0
8535,1
8390,0
3973,0
1292,0
6688,0
5264,1
3370,0
5990,1
4663,0
5190,0
3651,1
3315,1
4078,0
292,0
6121,1
8140,0
1051,0
4782,0
4848,1
7213,0
272,1
2042,0
5184,1
3918,1
4185,1
103,0
1086,1
4664,1
7807,1
5117,0
4691,0
2903,1
5381,0
7019,1
4046,1
5595,0
6781,1
6605,0
6810,0
4447,0
4122,1
6291,1
613,0
8885,1
5332,0
4706,1
5589,1
3478,1
5730,0
1748,1
732,0
8240,1
4478,0
3872,0
7702,0
2910,0
6198,0
2662,1
7238,0
4692,1
8578,0
3113,0
3303,0
2154,0
1344,1
8844,1
3261,0
7355,1
3992,0
5231,1
952,0
6334,0
3021,0
3308,1
1504,0
5095,0
1806,1
5023,0
8243,1
3791,0
1121,1
5527,0
8565,0
5893,0
4755,0
4838,1
5928,1
5846,1
6375,0
1848,0
416,1
2973,1
5793,0
2431,0
2518,0
564,1
2526,1
5484,0
4860,0
3251,1
1224,1
142,0
7718,0
1490,0
7598,1
4840,0
1590,0
5102,1
4786,1
2653,1
2004,0
1194,0
4235,0
3409,1
1117,0
7476,0
1756,0
497,1
3997,0
12,0
870,1
3357,0
912,0
3582,1
721,0
4001,1
8947,1
7128,1
8629,0
5307,0
1496,1
6845,0
1520,1
8909,0
6914,1
2746,1
8065,1
5755,0
314,1
6872,0
7889,0
8936,0
3350,0
108,1
1754,1
6876,1
1351,0
3129,0
7205,0
6203,1
5427,0
480,1
6564,1
1973,1
336,0
2764,1
6160,1
6902,1
4518,1
2985,0
4550,1
5574,0
524,0
6931,1
3477,0
5720,1
3558,0
8881,0
2809,1
724,1
765,1
5306,1
5883,0
5499,1
6718,0
307,0
3773,0
3908,1
1278,1
348,0
8991,1
7621,0
5957,1
6805,0
8547,1
1791,0
8994,0
7890,1
3682,0
7032,1
8607,1
2053,0
2232,0
4335,0
71,0
4439,1
2759,1
4994,0
8125,1
5027,0
5651,0
8868,1
6543,0
2805,0
1260,0
1666,0
5012,0
7131,0
4983,0
5206,1
4322,1
2167,0
1445,0
4205,0
2533,0
4527,1
1695,0
2892,1
5826,0
1095,0
7798,0
7170,0
3203,1
4787,0
1630,1
6001,0
1881,1
5268,0
6580,0
1612,1
978,0
1413,1
6972,1
6100,0
848,0
7322,0
4985,1
7414,1
2877,0
2271,0
2392,0
7727,0
3779,0
1830,1
6804,0
7232,1
4450,0
47,1
5143,0
6306,0
1350,0
8665,1
1234,0
8074,0
8534,1
3915,0
446,1
2248,0
1743,1
844,0
8929,1
7751,1
7065,0
3289,0
2707,1
39,0
2440,1
3103,1
7263,1
6627,1
678,1
4554,0
8643,1
5504,0
1294,0
6955,0
6337,0
3984,1
8500,1
971,0
3442,1
7013,1
7827,0
1112,1
3980,1
4921,1
776,0
8742,0
2231,0
2228,0
2153,1
8870,1
4821,1
7610,1
4315,1
8538,1
7351,0
5662,0
6978,1
3183,1
6087,0
3199,1
5659,0
1289,0
4989,1
7877,0
6883,0
5456,0
6613,1
3966,1
1879,0
7103,0
5500,1
7590,0
5925,0
6780,1
8761,0
1036,0
636,1
4441,1
4295,0
1083,1
861,0
903,1
191,1
109,0
1942,1
4253,0
8401,1
6975,0
7042,1
6756,1
2775,0
2323,1
8516,0
2617,1
6758,1
1094,1
8765,0
4503,0
3135,1
4581,0
3805,1
7500,1
2654,0
4273,0
4984,1
6382,0
5431,0
6133,1
4575,1
8716,1
2202,0
4922,1
7551,1
4299,0
975,0
4689,0
941,1
2387,0
3221,1
3882,0
8490,1
5338,0
4762,1
2789,0
944,1
7786,1
8117,1
7422,0
4108,0
7134,1
3255,1
2690,0
6620,0
1319,0
8891,1
4687,0
5470,1
5608,1
3475,0
3505,0
2477,1
8288,1
5906,0
8343,0
8874,1
1874,1
7605,0
4239,0
2904,0
570,1
1448,1
4801,0
7829,0
5118,0
6698,0
5253,0
3226,0
8766,1
3978,1
6151,0
3539,0
5665,0
2827,0
5430,0
1338,0
3262,0
5148,1
650,1
2902,0
2258,0
6017,1
8091,1
8057,0
4429,0
7475,1
6939,0
2584,1
3196,1
6178,1
4329,1
1258,0
4246,1
991,0
3504,0
113,1
919,1
2509,0
8460,0
7176,1
4382,0
949,0
4613,0
3770,1
7435,1
2850,0
5219,0
4317,1
7977,1
6696,0
2505,0
1114,1
8608,0
298,1
1675,0
3347,1
2735,0
8787,0
8206,1
4678,1
7797,0
7983,0
4416,1
6310,1
2103,1
5277,0
5446,0
5982,1
1837,1
6351,0
8651,1
6562,1
607,0
1093,0
4371,0
5100,1
7932,1
160,0
203,1
5672,0
4742,1
2934,1
5888,0
2435,0
1230,0
7434,0
8791,0
8685,1
4610,0
6165,0
5162,1
4251,0
7922,0
4034,0
6513,0
4771,0
3877,1
4376,0
857,1
8048,0
6889,1
2561,1
3801,0
2640,1
4509,0
2347,0
6653,0
2781,0
4556,0
8531,0
7438,0
615,1
7007,1
2575,0
7484,0
3340,1
5669,1
1705,1
6953,1
4404,1
1493,1
8965,0
4537,0
803,0
8990,1
5722,0
990,0
6597,0
5998,1
7602,1
3513,0
4414,0
6927,0
219,0
4464,0
1288,0
3163,0
2618,0
3612,0
43,0
6770,0
3792,0
3571,1
7096,1
1503,0
4477,0
8846,0
3439,1
1892,0
8384,1
8087,0
5045,1
1505,1
670,1
7828,0
5685,0
897,1
4978,0
2666,1
3193,0
2890,0
8181,1
4836,1
6379,1
7467,0
2370,1
6362,0
1769,1
7121,0
4851,1
531,0
8428,0
7388,1
7054,1
7967,0
8022,0
731,0
3406,1
2339,0
4872,0
4701,0
2565,0
6213,0
8270,0
5412,0
5637,0
4417,0
7306,1
7947,1
1255,0
2104,0
5395,1
5014,1
8223,1
7908,1
7177,0
3484,0
8539,1
3816,0
5559,0
7039,0
6304,0
4469,0
1621,0
8479,0
6013,1
5028,1
7813,0
1096,1
5131,1
8603,1
2463,0
8798,1
1788,1
7104,1
4988,1
4999,0
192,1
820,0
4602,1
6795,1
5992,0
4166,0
2687,0
7295,0
6009,0
4813,0
5426,1
2607,0
5994,1
238,0
4015,0
8328,1
2977,0
5649,1
5271,1
945,0
5170,1
6177,0
5632,1
7249,0
3552,1
8064,0
3360,0
4474,1
2410,1
7038,0
3982,1
146,0
5358,0
2294,0
7207,1
3611,1
1736,0
6159,0
114,0
7744,1
4553,0
498,0
720,0
5780,0
3089,0
5816,0
5875,0
596,0
8279,1
8757,0
1647,1
8857,1
2700,1
5963,0
1700,1
7886,1
5810,1
4772,1
2942,1
5074,0
86,1
2308,1
2677,0
8616,0
6216,0
2594,1
8109,0
1029,0
136,0
5502,0
4950,1
7726,0
4409,1
1200,0
8562,1
5312,0
566,0
5847,0
3927,1
8339,1
7289,0
4564,1
5294,1
5260,1
6710,1
2330,0
3515,1
2187,0
195,1
4567,0
802,0
7299,1
6343,1
2068,1
5873,0
8639,0
644,0
8960,0
6820,0
120,1
2981,1
3074,0
7862,0
3278,1
2135,0
4990,0
134,0
6218,1
8673,1
2559,1
62,0
1358,0
4685,1
2467,0
679,1
5473,1
741,0
5968,1
3641,0
8711,0
8144,1
3258,1
1873,0
2596,0
1717,0
8112,0
2843,0
4027,0
7360,0
6459,0
6747,1
489,1
493,0
690,0
3821,1
602,1
1911,1
6752,0
5613,1
6956,0
4641,1
3757,1
2366,1
4370,0
5885,1
5650,1
1361,0
4816,1
1526,1
7847,0
4899,1
7371,0
1551,0
5048,1
8717,1
1337,0
3901,1
3010,0
7690,0
2250,0
2346,0
8346,1
2784,1
5382,0
150,1
2804,0
4723,0
2086,0
3751,1
2259,0
4017,1
7919,1
4880,1
7550,1
8193,1
3856,0
859,1
6983,0
6501,0
8876,0
7229,0
7278,0
4462,1
6875,0
1779,0
4720,0
5106,0
1818,0
6271,1
2704,1
175,1
2093,0
7117,1
3491,1
7844,1
82,1
816,0
5910,1
6965,1
6813,0
283,0
7686,0
6008,1
7761,1
2915,1
1813,1
1271,1
4767,0
8632,1
7292,0
5911,0
2642,0
8923,0
4508,1
2305,0
7417,0
4195,0
6817,0
4168,1
3849,0
8861,1
6928,0
6336,1
2414,1
3554,0
4498,0
2195,0
2600,0
6868,0
4314,0
3366,0
6741,0
6401,0
2633,1
6578,1
2434,0
6711,0
5549,1
5327,0
4520,0
3545,1
7836,1
7662,0
517,0
4925,0
8856,0
1415,1
4456,0
7815,0
127,0
3474,0
6407,1
4310,0
2438,0
3765,1
5598,0
8012,0
8789,0
1473,0
5570,0
3560,0
3951,0
49,0
7296,0
887,1
2616,0
516,0
3168,1
2949,0
1424,0
139,0
1924,1
2378,0
3197,0
112,1
4559,1
4595,1
3250,0
8239,0
6790,0
4546,0
5491,1
3277,1
5059,0
7518,0
7896,1
6952,0
7267,0
5933,0
3222,1
6610,1
451,0
3731,0
7910,1
7661,1
2763,0
658,1
6173,0
4620,0
999,1
389,0
3407,0
1476,0
2240,0
2386,1
8161,1
3922,0
2972,0
3386,0
1293,1
1824,0
2873,0
4173,0
2535,0
8207,0
1907,0
6763,1
368,0
1151,0
8952,0
5736,0
6220,1
6152,0
6043,0
4160,1
4287,0
6251,0
7926,0
174,1
1903,1
1099,1
6515,0
3408,1
1538,0
2292,0
8364,1
1363,0
5623,1
5340,0
7737,0
5686,1
680,1
6149,0
3664,1
1661,1
508,1
166,1
6753,1
1006,1
6848,1
7958,0
3494,1
6743,0
8772,0
2536,1
1104,1
3875,1
6041,1
1752,0
5614,0
2916,0
6475,1
152,0
3907,0
8210,1
2552,1
2773,0
4914,0
3551,0
3722,0
5351,1
7200,0
6455,0
4538,1
5458,0
1822,0
4086,1
4955,0
8842,0
5894,1
6224,1
309,0
6209,0
5882,1
3599,0
3622,0
7028,0
3450,0
4591,1
205,0
1135,1
2749,1
3613,0
305,1
1849,1
6842,1
1988,0
3240,0
2798,0
4515,0
6204,0
3109,0
4059,0
1987,1
6599,1
383,0
4307,1
3388,1
7854,0
2727,1
6027,0
5057,0
7456,0
4863,0
3832,1
7493,1
4776,0
4276,0
253,1
8627,1
6363,1
278,0
3252,1
2480,0
289,0
4903,0
3075,1
6507,1
6110,1
5159,0
6765,0
8743,1
6929,0
6979,0
6234,0
270,1
4570,0
6323,1
6432,0
7061,1
7609,0
4207,0
3218,0
1391,0
3975,0
4316,0
5398,0
5905,0
7109,1
83,0
873,0
8641,0
6405,1
4557,0
4500,0
4647,1
2038,0
8723,1
8389,0
2450,0
3954,0
2329,0
8200,0
5676,1
8423,0
4746,1
8426,1
5224,1
8465,0
5123,0
6591,0
1216,0
7477,0
5531,0
1064,0
3786,1
4410,0
6760,1
7699,1
7923,1
3008,1
1105,0
5363,0
7216,0
6107,0
7327,1
8818,1
4369,1
2765,1
3929,1
5744,0
8184,1
6046,0
5681,0
7626,1
2451,0
5026,0
6529,0
3824,0
7953,0
2652,1
8179,0
3743,1
2176,0
8329,0
3318,1
5114,0
2787,0
4105,0
8323,1
1676,1
3947,0
7219,0
7159,0
5368,0
6244,0
5974,1
2503,0
7080,1
2369,1
2217,1
2218,1
3326,0
7595,0
3583,0
8284,0
6584,1
8775,0
8668,1
7672,1
85,0
2801,1
3671,1
3667,1
8812,0
4590,0
2019,0
6297,0
2525,0
5880,0
5018,1
7569,0
7227,1
5447,1
2895,1
7557,0
4714,1
8275,1
3425,0
5583,1
5417,0
5808,1
4977,0
5836,0
2001,1
7316,0
869,1
356,0
6576,0
6194,0
1275,1
1890,1
7458,0
6596,0
8251,0
3563,1
4958,1
6919,0
2380,0
3823,1
8598,0
6926,0
3306,1
7582,1
3499,0
5371,0
1116,1
8878,1
7698,0
6847,1
7237,1
7831,1
3645,0
2500,1
5244,1
2783,0
3809,1
5333,1
7382,1
6282,1
1696,0
5908,1
2052,0
1776,0
5283,0
3313,0
4781,1
7047,1
5460,0
1592,1
1723,1
7660,1
7568,1
6679,0
490,0
8734,0
3483,1
3431,1
7269,0
6200,0
25,1
3512,1
2409,0
3270,0
1552,0
8265,0
7584,1
3871,1
3402,1
4529,0
979,1
2655,1
1847,0
6403,1
6660,1
8114,0
7283,0
5798,1
1102,1
3276,1
5937,0
7275,0
6826,0
3996,0
194,0
8171,1
643,0
3285,1
3116,0
3575,1
8023,0
4320,0
8992,1
2207,0
4552,1
5884,0
3718,1
972,1
7324,1
719,0
8483,0
3896,1
2803,0
2566,0
4025,0
32,1
6774,0
7697,0
4063,0
7900,0
1697,0
2792,0
2222,1
3764,1
3866,1
7499,0
7881,0
5377,0
6906,0
3758,1
8807,0
3227,1
6273,0
6886,0
3904,1
2277,0
5485,1
1401,1
739,1
4266,0
8872,0
5909,0
6101,0
3851,1
7352,0
6594,0
5234,1
5513,0
674,0
5709,1
5129,1
3841,0
1815,0
6823,1
8854,1
8269,1
4653,1
8611,1
2100,1
1673,0
2101,0
4213,0
5606,0
1548,1
8523,0
3323,1
5839,1
355,0
1461,0
7222,0
8444,0
3220,0
7001,0
7936,0
1751,1
6438,1
6109,0
1772,0
1196,0
1878,0
2668,1
3171,1
2016,0
2005,0
7505,0
3893,0
3237,0
4424,0
4744,1
2078,1
396,0
2788,0
8278,0
5235,1
4072,0
8102,0
8552,1
5822,0
1519,0
6581,1
1378,0
1023,1
2587,1
6142,0
5008,0
2857,0
6676,0
5761,1
1629,1
4888,1
4526,0
3523,1
6256,1
3607,1
8474,1
234,1
7153,1
3796,0
4118,0
5001,0
3800,0
6064,1
8771,1
5024,1
1948,1
470,0
6070,0
3492,1
2671,1
8147,1
2224,0
1106,1
8066,1
818,0
4523,1
7625,1
8572,1
8429,0
8450,0
888,1
2437,1
817,1
3414,0
2341,1
8034,0
3167,1
8385,0
8669,1
1264,0
5086,1
5194,0
4449,1
4945,1
4045,1
7074,1
7887,0
1228,1
8073,0
8536,1
5141,1
52,0
6126,1
8033,1
159,1
6067,1
1587,0
1589,0
6442,0
5314,0
8332,0
3858,0
7824,1
8127,0
2828,0
436,1
7341,1
3878,0
1588,0
2780,1
7960,0
7225,0
7204,0
4727,0
973,0
1238,1
2951,1
2342,0
6270,0
2158,1
5309,0
1497,1
4545,1
4257,1
2422,1
5185,0
357,0
5242,0
8935,0
8579,0
2092,1
2015,0
8093,0
7142,1
187,0
6499,0
3655,1
3426,0
5787,1
1381,0
8105,0
413,1
5037,0
4897,0
3336,0
3606,0
3175,0
8061,1
8736,0
6268,0
256,1
5689,0
200,1
2235,1
4743,0
1767,1
4236,1
7010,0
1572,1
24,0
7738,1
1088,0
4674,0
2694,1
7282,1
3398,1
3559,0
8229,1
2841,0
2311,1
7729,0
3234,0
4152,1
1309,1
695,0
5375,1
3752,1
1227,0
1999,0
276,1
5452,1
5701,0
7755,0
3637,0
6642,0
4778,0
8727,1
4117,0
5663,0
1137,0
2767,1
6582,0
6196,0
942,1
6162,0
8435,1
4935,1
3935,0
7653,1
2384,0
115,1
7842,1
8977,1
3119,1
4258,0
5404,0
7052,1
2819,0
3822,1
8148,1
4699,0
7846,0
3802,0
3536,0
3825,1
7376,1
7309,0
4810,1
1946,1
6307,1
5746,0
5335,0
3488,0
1610,0
5687,0
4677,1
4959,0
7604,1
4761,1
2194,1
6629,0
5113,0
557,1
8614,1
7478,1
1207,0
5666,1
8602,1
1510,0
3829,1
3732,0
6398,1
3211,0
3630,1
8141,0
6701,0
266,1
1140,0
3162,1
8413,0
3730,1
1909,1
5876,0
2660,0
656,1
6942,1
6296,0
998,0
5967,1
2834,1
8246,0
1237,1
8151,0
6366,0
7715,1
5091,0
2186,0
1134,0
5004,1
1303,0
1627,1
7975,1
1522,0
8826,0
358,1
138,1
299,1
1556,1
5099,1
382,0
6784,1
5597,0
4857,1
7789,1
7115,0
5743,0
7920,1
6761,1
5698,0
8297,1
2721,0
1932,0
8078,1
3236,0
3140,1
4163,0
7796,0
3807,0
8525,0
8686,0
4154,1
4172,0
796,0
2416,1
785,1
3158,1
123,0
2172,0
7081,1
7021,0
8360,1
4340,1
910,0
2309,1
8688,1
3634,1
1257,0
4458,0
1178,0
4652,0
3650,1
442,0
7525,0
1399,0
1457,1
8440,0
1054,0
5556,1
3275,1
7514,0
3699,0
3759,0
929,0
7171,1
1829,0
2928,1
8436,1
4221,1
3546,1
7880,0
6523,1
2011,0
7427,0
6672,1
3219,1
2606,0
3264,0
4928,0
8882,1
6526,0
6,1
2980,1
3361,0
4774,0
1943,0
5981,1
1635,0
1141,1
7521,0
6286,0
2070,1
3134,1
5160,1
6239,1
6728,0
2242,1
1474,0
7272,1
1889,0
3435,1
6533,1
6187,0
3705,1
2021,1
4020,1
7696,1
6997,0
7540,1
2658,1
1130,1
7633,1
1819,0
6011,1
4318,1
8640,1
4144,0
4669,0
1236,1
5476,1
8852,0
1856,0
2282,1
6946,0
8382,1
4093,1
7503,0
5200,0
3421,0
386,1
1628,1
3585,0
7894,0
2714,1
5770,1
6982,0
8383,1
3189,1
8970,0
4305,0
909,1
5385,1
7403,0
1866,1
1842,0
2497,1
8009,1
6354,0
7716,0
5054,0
4006,0
2702,1
8042,0
331,0
5748,0
7924,1
6554,0
5775,0
2459,0
1774,0
6108,1
6418,1
2686,0
8220,0
7949,1
5668,0
6838,0
7202,1
7542,1
7482,1
6993,1
7369,0
5462,1
173,1
8714,1
4615,0
3321,0
